timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.716546,2026-01-26 14:49:37.002,50,block_start,no
7.730050,2026-01-26 14:49:37.016,1,fixation,no
9.765640,2026-01-26 14:49:39.051,10,concept_shoulder_category_A,no
12.819727,2026-01-26 14:49:42.106,30,beep_start,no
12.820219,2026-01-26 14:49:42.106,31,beep_1_8,no
13.621429,2026-01-26 14:49:42.907,31,beep_2_8,no
14.423795,2026-01-26 14:49:43.710,31,beep_3_8,no
15.226171,2026-01-26 14:49:44.513,31,beep_4_8,no
16.027081,2026-01-26 14:49:45.314,31,beep_5_8,no
16.836828,2026-01-26 14:49:46.123,31,beep_6_8,no
17.639173,2026-01-26 14:49:46.926,31,beep_7_8,no
18.439530,2026-01-26 14:49:47.726,31,beep_8_8,no
19.258677,2026-01-26 14:49:48.544,40,trial_end,no
20.808172,2026-01-26 14:49:50.094,1,fixation,no
22.826582,2026-01-26 14:49:52.113,20,concept_lemon_category_B,no
25.819618,2026-01-26 14:49:55.106,30,beep_start,no
25.819949,2026-01-26 14:49:55.107,31,beep_1_8,no
26.620921,2026-01-26 14:49:55.908,31,beep_2_8,no
27.421943,2026-01-26 14:49:56.709,31,beep_3_8,no
28.223562,2026-01-26 14:49:57.510,31,beep_4_8,no
29.024892,2026-01-26 14:49:58.312,31,beep_5_8,no
29.833690,2026-01-26 14:49:59.120,31,beep_6_8,no
30.635864,2026-01-26 14:49:59.922,31,beep_7_8,no
31.436290,2026-01-26 14:50:00.723,31,beep_8_8,no
32.255647,2026-01-26 14:50:01.543,40,trial_end,no
33.326585,2026-01-26 14:50:02.613,51,block_end,no
